"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.826,0.769,0.721,0.796,0.746,0.673,0.764,0.684,0.581
"RE-Mean","FE","FE",0.852,0.796,0.751,0.822,0.766,0.707,0.785,0.71,0.603
"RE","FE","FE",0.853,0.794,0.75,0.824,0.767,0.704,0.787,0.707,0.601
"SL","FE","FE",0.958,0.949,0.949,0.951,0.943,0.957,0.951,0.942,0.941
"FE","RE","RE",0.943,0.937,0.955,0.939,0.933,0.951,0.924,0.94,0.939
"RE-Mean","RE","RE",0.941,0.934,0.951,0.934,0.929,0.955,0.925,0.941,0.94
"RE","RE","RE",0.939,0.936,0.951,0.93,0.932,0.954,0.926,0.94,0.939
"SL","RE","RE",0.896,0.914,0.932,0.901,0.918,0.938,0.912,0.927,0.933
"FE","RE-Mean","RE-Mean",0.948,0.935,0.956,0.947,0.943,0.955,0.933,0.943,0.944
"RE-Mean","RE-Mean","RE-Mean",0.946,0.937,0.956,0.946,0.942,0.953,0.932,0.941,0.945
"RE","RE-Mean","RE-Mean",0.947,0.937,0.956,0.946,0.942,0.953,0.932,0.941,0.945
"SL","RE-Mean","RE-Mean",0.959,0.941,0.949,0.952,0.944,0.951,0.952,0.935,0.942
"FE","SL","SL",0,0,0,0.001,0,0,0.001,0.001,0
"RE-Mean","SL","SL",0,0,0,0,0,0,0,0,0
"RE","SL","SL",0,0,0,0,0,0,0,0,0
"SL","SL","SL",0,0,0,0,0,0,0,0,0
