"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.0908570326701342,0.0697987200049198,0.0459727243814986,0.0892661708010083,0.069008328240209,0.0491572421228628,0.0867934348278678,0.0666987205233658,0.0507132678183482
"RE-Mean","FE","FE",0.0864764164343475,0.0654305805313428,0.0431384100407815,0.085366573832445,0.0653549314596781,0.0462935643146772,0.0840073619278021,0.064224195162579,0.0487346414204404
"RE","FE","FE",0.0864878273470452,0.0653474425523621,0.0431334553105937,0.0853656565137761,0.0652441512909655,0.0462937625239387,0.0839690232413802,0.0642193942180774,0.0487261149662951
"SL","FE","FE",0.076038265670374,0.0526537484390822,0.0321419630806267,0.0721530597154964,0.0512240780574723,0.0315879739666476,0.0669994265141245,0.0471433852800577,0.0296087255083931
"FE","RE","RE",0.0987834340827243,0.0719202704354199,0.0464932953469255,0.0966419015758832,0.0710320448519061,0.0495412190932193,0.092984976733343,0.0683869147079374,0.0512443847702311
"RE-Mean","RE","RE",0.0972039107904417,0.0682200265972686,0.0437817716695164,0.0947346037153311,0.0679070946350638,0.0467557627532196,0.0912907353201226,0.066174647574203,0.0493152427806229
"RE","RE","RE",0.0972203429016045,0.0681451380350095,0.0437823888792402,0.0947486832879152,0.0678083999885797,0.0467579552276913,0.0912476177940866,0.0661746214246873,0.0493079464701534
"SL","RE","RE",0.104408110322213,0.0636410390541809,0.035586525274322,0.0948402339141209,0.0601467462153553,0.033952491322428,0.0809703993025559,0.0526651298067196,0.031265782249385
"FE","RE-Mean","RE-Mean",0.0924224544837132,0.0704048622566523,0.0461813712545139,0.0899808540310189,0.0692217582515976,0.0492142453762302,0.0869675786500705,0.0667421661675529,0.0507580622784193
"RE-Mean","RE-Mean","RE-Mean",0.0881477591428828,0.0660907713032358,0.043370600291774,0.0860452823317173,0.0655690092277887,0.0463453526941112,0.0841852802551233,0.0642629825474637,0.0487803687511128
"RE","RE-Mean","RE-Mean",0.0881614950753543,0.0660006841817083,0.043369577765424,0.0860431975247936,0.0654568830272137,0.0463464769470658,0.0841444690356129,0.0642577752965129,0.0487718061127491
"SL","RE-Mean","RE-Mean",0.0775037619198487,0.053278457025095,0.0324896949109274,0.0724932475205206,0.0513383775059442,0.0316457658136622,0.0670322515955102,0.0471333746621742,0.0296427271823559
"FE","SL","SL",1.20089090720264,1.02887260756588,0.890029083136611,1.30503289867789,1.12345472564489,0.95215903815752,1.58294469050162,1.38435820411491,1.18393064418433
"RE-Mean","SL","SL",1.53460136439067,1.29257877128584,1.06659324070078,1.58291798473399,1.35066839284211,1.11616193317227,1.76585316280397,1.53738869932593,1.30361630456639
"RE","SL","SL",1.53601988516587,1.2932929817074,1.06695857069368,1.58433214378082,1.35148611162518,1.11656870127578,1.76699635135351,1.53793731138055,1.30403610206687
"SL","SL","SL",3.18218240263108,3.19104225386541,3.17061389797071,3.17558149227053,3.18297290024401,3.16470951329273,3.17298487501193,3.17901796152478,3.16381840637573
