"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",-0.000816642045091576,2.73246534110427e-06,0.000445036863298442,-0.000611079801734027,2.74134175524132e-05,-0.000247572190597234,-0.00110221994619664,-0.000664504960533829,0.00126643288688322
"RE-Mean","FE","FE",-0.000761375176493218,-9.21494697966319e-05,0.000473583432634372,-0.000615201332831994,8.55793252965142e-05,-0.000153610971079687,-0.000983418497940813,-0.000575685338767618,0.00123624630229924
"RE","FE","FE",-0.000793787916403943,-8.92288349826353e-05,0.000501310533104204,-0.000620895346911454,0.000102960287681642,-0.000143458253247908,-0.0010130959875625,-0.000564518688863314,0.0012422593769017
"SL","FE","FE",-0.000303794451991246,6.5649206780094e-05,0.000865425800659292,-0.000605643341048512,0.000351129721438026,0.000122828151204679,-0.00093819984384802,0.000120973671556612,0.00069622601425734
"FE","RE","RE",0.0246380528428793,0.0109452781430335,0.00432791499068119,0.0239239240379745,0.0106604576868463,0.00351214105798214,0.0216639006423363,0.00937136342219147,0.00485216510924213
"RE-Mean","RE","RE",0.0291323393968415,0.0125022565172059,0.00477362216670008,0.0271207474406883,0.0119377812132633,0.00393062492699681,0.0235100241286088,0.0101047474890303,0.00500478707351171
"RE","RE","RE",0.0291406331496942,0.0125155673068449,0.00480306285544296,0.0271454935737028,0.0119635703921011,0.00394221401693762,0.0234972819154879,0.0101201900274714,0.00501167379925671
"SL","RE","RE",0.0496160154742238,0.0247548713080425,0.0106665920554139,0.0427873463845929,0.02179863498732,0.00862714650438456,0.0315187823831733,0.0161210050738443,0.00703977254512411
"FE","RE-Mean","RE-Mean",0.00815329888825311,0.00477375778388756,0.00227500961593541,0.00479030049051832,0.00266582502674417,0.000676885553495543,0.00186997957104862,0.000783051130583967,0.00179263246748262
"RE-Mean","RE-Mean","RE-Mean",0.00936100698457221,0.00538610966372888,0.00262033775763726,0.00521152942596381,0.00296589530009794,0.000879904464875958,0.00211446150243133,0.000929378490722055,0.00178814579056952
"RE","RE-Mean","RE-Mean",0.00934396351057987,0.00539731232191443,0.00264995294683312,0.00521187391495115,0.00298675403317628,0.000890716581219086,0.00208667408709196,0.000941392326808899,0.0017944870173916
"SL","RE-Mean","RE-Mean",0.00932111592487561,0.00559738615844174,0.00333872246830924,0.00407285145204117,0.00271572688039212,0.00107049315720076,0.00104066514799794,0.00106050249609724,0.00105047305908257
"FE","SL","SL",0.837875718944284,0.719445110973046,0.625619065250173,0.911174054173045,0.785040132583908,0.667281728451319,1.10380101209717,0.964849101327994,0.826015563145187
"RE-Mean","SL","SL",1.08212453177831,0.911856617178977,0.753434970420466,1.11508795091417,0.951196934571989,0.787168407164541,1.23922706791507,1.07816762682354,0.914675428681487
"RE","SL","SL",1.08316536865976,0.912372254021028,0.753689872608944,1.11611782501322,0.951784724985951,0.787436706851573,1.24006451028387,1.07860382202047,0.914969262150553
"SL","SL","SL",2.25168871478286,2.25813124087163,2.244537802672,2.24515105769094,2.25014395519423,2.23883639486053,2.23840653958475,2.24196910447042,2.23353073426951
