"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",0.00257140352717111,0.000361587662341067,-0.00103288828482917,0.00273148826705549,0.00133356805843476,-0.000661312290550109,0.00281023546030079,0.000775263999793774,0.000386219811777666
"RE-Mean","FE","FE",0.00236854516177076,0.000141895580861195,-0.00111171721225323,0.00237310400298596,0.00111160496337126,-0.000825824139699005,0.00255220481481744,0.000577608784628536,0.00041785069932998
"RE","FE","FE",0.00235462775742734,9.52328517185297e-05,-0.00110545073637913,0.00233465558217172,0.0010646009447699,-0.000798305028508417,0.00254241860541149,0.000572650155938881,0.000403773603553814
"SL","FE","FE",0.00172893153428522,-0.00139397906739303,-0.000472792831633151,0.000775390559430766,-0.000800777359306171,-0.000833506699804532,0.000567398722124635,-0.000881879439064481,0.000112599366133059
"FE","RE","RE",-0.0114199361965679,-0.00741463626691974,-0.0044252216905496,-0.0103662661525247,-0.00579903206923449,-0.00375302691321633,-0.00972154943904968,-0.00565795809765901,-0.00230340683792185
"RE-Mean","RE","RE",-0.0103450917216731,-0.00713837168216191,-0.00436556929795551,-0.0100817686377089,-0.00576893667687883,-0.00384234980794496,-0.0100409705667743,-0.00589237915274488,-0.00228236917375124
"RE","RE","RE",-0.010341942933849,-0.00718017511020363,-0.00435841477788568,-0.0101093619755027,-0.00581283267372723,-0.00381416525637357,-0.0100480354821276,-0.00589668912001418,-0.00229623521484323
"SL","RE","RE",0.00729052066960612,0.00135627344564759,0.000598745726833938,0.00405316181993687,0.000828826798615845,-0.000208543867760147,-0.000489346730328633,-0.00139271549276154,-0.000116237663245755
"FE","RE-Mean","RE-Mean",-0.000219758698701722,-0.0013644006977388,-0.00204152663591295,0.00161052826433017,0.000739614906964725,-0.00098207422565455,0.00234697083157953,0.000605424443337332,0.00030271217008071
"RE-Mean","RE-Mean","RE-Mean",-0.000166604209714261,-0.00148573535738616,-0.00205702351214954,0.00136329454298267,0.000569888486187775,-0.00111309025428219,0.00211214615520627,0.000411727896114877,0.000340216840516661
"RE","RE-Mean","RE-Mean",-0.000184740756554835,-0.00152496479169772,-0.00204999261370387,0.00132125478802081,0.000524884278257698,-0.00108496631494259,0.00209984463177237,0.0004074375245533,0.000326197641467019
"SL","RE-Mean","RE-Mean",0.00328848292390305,-0.000577750469762828,-0.000107113412910698,0.00124040594804509,-0.000591077393453987,-0.000752736014558497,0.000432619949861879,-0.000956098964546959,8.03405042584249e-05
"FE","SL","SL",-0.458190242130921,-0.517192413787473,-0.559414646519033,-0.428636312502928,-0.489430812815465,-0.539590366217075,-0.354158703344005,-0.417505294064351,-0.481562941968167
"RE-Mean","SL","SL",-0.363066370799925,-0.440894569302102,-0.507893437050969,-0.35133944797322,-0.424679246657887,-0.492713718649195,-0.304413636272799,-0.374599830663974,-0.446319566784386
"RE","SL","SL",-0.362715802555225,-0.440751970970685,-0.507864868884338,-0.351132247595033,-0.424546318417299,-0.492593323578054,-0.304402253679868,-0.374457146844938,-0.446276498986693
"SL","SL","SL",0.135076789895239,0.134123733537935,0.131997784589527,0.124974649579919,0.126550988320995,0.122493113216153,0.111496320546578,0.115156950491857,0.108302788942023
