"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.805,0.768,0.74,0.793,0.746,0.677,0.722,0.682,0.581
"FE","RE-Mean","FE",0.944,0.93,0.944,0.932,0.934,0.927,0.925,0.926,0.917
"FE","RE","FE",0.942,0.931,0.943,0.928,0.935,0.926,0.914,0.927,0.917
"FE","SL","FE",0.226,0.331,0.515,0.114,0.204,0.353,0.028,0.044,0.071
"RE-Mean","FE","FE",0.841,0.806,0.773,0.808,0.773,0.703,0.74,0.705,0.61
"RE-Mean","RE-Mean","FE",0.945,0.934,0.947,0.936,0.936,0.931,0.927,0.929,0.914
"RE-Mean","RE","FE",0.945,0.933,0.945,0.932,0.935,0.932,0.92,0.927,0.911
"RE-Mean","SL","FE",0.001,0.009,0.047,0.002,0.008,0.039,0.003,0.007,0.014
"RE","FE","FE",0.838,0.807,0.772,0.806,0.772,0.703,0.745,0.703,0.609
"RE","RE-Mean","FE",0.944,0.934,0.948,0.937,0.936,0.932,0.927,0.929,0.912
"RE","RE","FE",0.944,0.933,0.946,0.931,0.934,0.933,0.922,0.927,0.911
"RE","SL","FE",0.001,0.011,0.047,0.002,0.008,0.038,0.003,0.006,0.016
"SL","FE","FE",0.951,0.952,0.944,0.95,0.943,0.953,0.953,0.948,0.942
"SL","RE-Mean","FE",0.947,0.956,0.95,0.952,0.946,0.956,0.952,0.939,0.947
"SL","RE","FE",0.91,0.938,0.946,0.933,0.934,0.956,0.938,0.932,0.943
"SL","SL","FE",0,0,0,0,0,0,0,0,0
"FE","FE","RE",0.816,0.801,0.803,0.807,0.8,0.766,0.749,0.753,0.719
"FE","RE-Mean","RE",0.94,0.942,0.961,0.929,0.947,0.952,0.924,0.947,0.94
"FE","RE","RE",0.939,0.942,0.962,0.924,0.948,0.952,0.918,0.945,0.938
"FE","SL","RE",0.188,0.317,0.534,0.1,0.202,0.373,0.026,0.044,0.08
"RE-Mean","FE","RE",0.827,0.82,0.812,0.826,0.813,0.768,0.767,0.762,0.727
"RE-Mean","RE-Mean","RE",0.937,0.949,0.961,0.932,0.947,0.954,0.92,0.948,0.936
"RE-Mean","RE","RE",0.924,0.948,0.96,0.922,0.945,0.955,0.914,0.946,0.937
"RE-Mean","SL","RE",0.001,0.006,0.051,0.002,0.007,0.042,0.003,0.005,0.018
"RE","FE","RE",0.83,0.822,0.812,0.824,0.813,0.769,0.767,0.762,0.725
"RE","RE-Mean","RE",0.939,0.949,0.961,0.931,0.947,0.955,0.92,0.948,0.938
"RE","RE","RE",0.923,0.948,0.961,0.921,0.946,0.955,0.915,0.945,0.937
"RE","SL","RE",0.001,0.007,0.05,0.001,0.007,0.041,0.002,0.005,0.017
"SL","FE","RE",0.941,0.957,0.945,0.952,0.937,0.955,0.948,0.941,0.937
