"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",0.0763367043373616,0.0589292981345454,0.0420832631634175,0.076444709673746,0.0592870194607803,0.0424817495029286,0.0728529492902547,0.0581295191692681,0.0441532092132768
"FE","RE-Mean","FE",0.0763367043373616,0.0589292981345454,0.0420832631634175,0.076444709673746,0.0592870194607803,0.0424817495029286,0.0728529492902547,0.0581295191692681,0.0441532092132768
"FE","RE","FE",0.0763367043373616,0.0589292981345454,0.0420832631634175,0.076444709673746,0.0592870194607803,0.0424817495029286,0.0728529492902547,0.0581295191692681,0.0441532092132768
"FE","SL","FE",0.0763367043373616,0.0589292981345454,0.0420832631634175,0.076444709673746,0.0592870194607803,0.0424817495029286,0.0728529492902547,0.0581295191692681,0.0441532092132768
"RE-Mean","FE","FE",0.0728327898551755,0.0556879865256972,0.0394175669873154,0.0733303989930149,0.0563230573196769,0.0399190746004364,0.0702352126546011,0.055928173851356,0.042246388002988
"RE-Mean","RE-Mean","FE",0.0728327898551755,0.0556879865256972,0.0394175669873154,0.0733303989930149,0.0563230573196769,0.0399190746004364,0.0702352126546011,0.055928173851356,0.042246388002988
"RE-Mean","RE","FE",0.0728327898551755,0.0556879865256972,0.0394175669873154,0.0733303989930149,0.0563230573196769,0.0399190746004364,0.0702352126546011,0.055928173851356,0.042246388002988
"RE-Mean","SL","FE",0.0728327898551755,0.0556879865256972,0.0394175669873154,0.0733303989930149,0.0563230573196769,0.0399190746004364,0.0702352126546011,0.055928173851356,0.042246388002988
"RE","FE","FE",0.0728087106584294,0.0556694032951416,0.0394049038752755,0.0733173017605802,0.0563454026806203,0.0399065452506965,0.0702283969709329,0.0559255774636741,0.042213694514894
"RE","RE-Mean","FE",0.0728087106584294,0.0556694032951416,0.0394049038752755,0.0733173017605802,0.0563454026806203,0.0399065452506965,0.0702283969709329,0.0559255774636741,0.042213694514894
"RE","RE","FE",0.0728087106584294,0.0556694032951416,0.0394049038752755,0.0733173017605802,0.0563454026806203,0.0399065452506965,0.0702283969709329,0.0559255774636741,0.042213694514894
"RE","SL","FE",0.0728087106584294,0.0556694032951416,0.0394049038752755,0.0733173017605802,0.0563454026806203,0.0399065452506965,0.0702283969709329,0.0559255774636741,0.042213694514894
"SL","FE","FE",0.0635189877186827,0.0450666274118661,0.0284602917486466,0.0627617926356145,0.0434942177569833,0.0265921950650327,0.0563874272362126,0.0389747521439725,0.0249094873918385
"SL","RE-Mean","FE",0.0635189877186827,0.0450666274118661,0.0284602917486466,0.0627617926356145,0.0434942177569833,0.0265921950650327,0.0563874272362126,0.0389747521439725,0.0249094873918385
"SL","RE","FE",0.0635189877186827,0.0450666274118661,0.0284602917486466,0.0627617926356145,0.0434942177569833,0.0265921950650327,0.0563874272362126,0.0389747521439725,0.0249094873918385
