"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",0.00257140352717111,0.000361587662341067,-0.00103288828482928,0.00273148826705527,0.00133356805843476,-0.000661312290550109,0.00281023546030079,0.000775263999793774,0.000386219811777888
"RE-Mean","FE","FE",0.00236854516177076,0.000141895580861418,-0.00111171721225323,0.00237310400298596,0.00111160496337126,-0.000825824139699005,0.00255220481481744,0.000577608784628536,0.00041785069932998
"RE","FE","FE",0.00235462775742734,9.52328517185297e-05,-0.00110545073637891,0.00233465558217172,0.0010646009447699,-0.000798305028508417,0.00254241860541127,0.000572650155938881,0.000403773603553814
"SL","FE","FE",0.00172893153428522,-0.00139397906739303,-0.000472792831633373,0.000775390559430766,-0.000800777359305949,-0.000833506699804532,0.000567398722124857,-0.000881879439064481,0.000112599366132837
"FE","RE","RE",0.02717253789706,0.0112484904124179,0.00290190503045107,0.026447081045593,0.0118732796369678,0.00311903085555731,0.0249762113458964,0.0107313502386444,0.00396835238430726
"RE-Mean","RE","RE",0.0306639850261439,0.0123945571034385,0.00316631309483695,0.0288266058536937,0.0126963381962146,0.0032318648135885,0.026281073164744,0.011122503616775,0.00416632191700317
"RE","RE","RE",0.0306825053331987,0.0123556901684154,0.00317409379661404,0.028812572773526,0.0126558218946433,0.00326074122969389,0.0262841434955059,0.0111212864402226,0.00415299069123498
"SL","RE","RE",0.0448310348818917,0.0198464488101793,0.00794485450069926,0.0389112856572031,0.0180362551567281,0.00661609486435721,0.0300368891558924,0.0137007659347281,0.00587489685398501
"FE","RE-Mean","RE-Mean",0.00671432250895321,0.0027207822161146,-0.000148133200508105,0.00506788023558191,0.00251662490342319,-0.00026178629725726,0.0040958441868999,0.00141627878214123,0.00062305256760653
"RE-Mean","RE-Mean","RE-Mean",0.00668362464252659,0.00281648921233013,-3.06002854635334e-05,0.00471387720298577,0.00238141009276882,-0.000370240349830686,0.00382901244140865,0.00123286434375958,0.00066675398108873
"RE","RE-Mean","RE-Mean",0.00666922251537794,0.00276643600652826,-2.33581538893191e-05,0.00467336165008936,0.00233314523812811,-0.000342188535603305,0.00381855005307941,0.00122789726084349,0.000652785691509061
"SL","RE-Mean","RE-Mean",0.00118503624279853,-0.00172235390146314,-0.000611051958230746,0.00063807778334457,-0.000878051385876377,-0.000861186033336514,0.000599168271310679,-0.000876840254084077,0.000114701921001492
"FE","SL","SL",0.641959154824276,0.615997253323165,0.595064188050504,0.661538915871379,0.632326028828616,0.603727779642675,0.717972687904928,0.677571847324903,0.641391072515906
"RE-Mean","SL","SL",0.709934292588221,0.663416686598516,0.622588462521472,0.719057125051594,0.674852560559405,0.63104997544189,0.7576843819343,0.709247176613887,0.664439558572468
"RE","SL","SL",0.710170823193858,0.663501466307934,0.622674384331599,0.719256441622288,0.67495709372097,0.631151093029588,0.757829384378324,0.709395455647221,0.664498319030216
"SL","SL","SL",1.10949069680506,1.10947972886148,1.10659619655428,1.10381168906197,1.10449058414917,1.10211412727057,1.09825499140179,1.0981004602423,1.09690925339104
