"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.0897580463812675,0.0656481885522207,0.0411722340239034,0.0917945460754889,0.0671684985882881,0.0439775462001075,0.091228213887951,0.0720690977344152,0.0495933451003634
"RE-Mean","FE","FE",0.0850832793743079,0.0625241633904256,0.0403309857021308,0.0865547409108516,0.0636285201581784,0.0421519589731775,0.087543481783725,0.068678117401826,0.0469455456560984
"RE","FE","FE",0.0850304360606022,0.0624969685633753,0.0403266725418474,0.0864406729558995,0.0635809896925692,0.0421441618756587,0.0875554826061285,0.0685670924384974,0.0469295657918585
"SL","FE","FE",0.0799990089356134,0.0582345717584158,0.0369758122066116,0.0780943267224834,0.0559104220323204,0.0349676680480696,0.073318426996544,0.0511473561366656,0.0321121561445967
"FE","RE","RE",0.0927798387601081,0.066831442256167,0.0415121919066003,0.0935889661862207,0.0677637824282053,0.0442023204584531,0.0924043715713516,0.0726468984881368,0.0497109284863398
"RE-Mean","RE","RE",0.09152437473719,0.0646063501065402,0.0407918914271915,0.0896940187594148,0.064583562035797,0.0424434763792305,0.089039984626375,0.0693722852554287,0.047066752523802
"RE","RE","RE",0.0915409193652875,0.0645939889476875,0.0407877607348985,0.089604083992426,0.0645412771526774,0.042435591427561,0.0890675270478427,0.0692547177940114,0.0470496449496753
"SL","RE","RE",0.0980761961981242,0.0662032189379216,0.0393102949502346,0.0875708292284567,0.0598106545092244,0.036308808926122,0.0768488555219384,0.0528047371352988,0.0324969042893404
"FE","RE-Mean","RE-Mean",0.0902882307224274,0.0659623574186119,0.0412757826440641,0.0920686554076617,0.0672361008823272,0.0440274743831985,0.0914596514392108,0.0721722071178348,0.049604982063094
"RE-Mean","RE-Mean","RE-Mean",0.0856763716766726,0.062901747199179,0.0404548135156091,0.0867410056216357,0.0636801552641759,0.0422020647637454,0.0877323502858964,0.0687752799682046,0.0469537393110748
"RE","RE-Mean","RE-Mean",0.0856217273761364,0.0628802187478402,0.0404477758354346,0.0866198772531825,0.0636316000388265,0.0421936194320313,0.0877466544758282,0.0686601734755413,0.0469370886354758
"SL","RE-Mean","RE-Mean",0.0810294163128305,0.0591477036466983,0.0373141860950524,0.0782184634764825,0.056054656598921,0.0350507539089862,0.073373076696578,0.0511796880045326,0.0321205592663355
"FE","SL","SL",0.344917043875778,0.32453722412986,0.316058924632724,0.36807235268407,0.337737898352141,0.320939083650639,0.450438157502033,0.400415081427039,0.356142508901405
"RE-Mean","SL","SL",0.498070872117753,0.422961542655146,0.362988375165741,0.479766933237554,0.415290255125831,0.361874403553079,0.509571273153042,0.449177139010602,0.389703023907653
"RE","SL","SL",0.498656371026853,0.423290876667593,0.363049588331743,0.480464805192593,0.415558890594448,0.361937212580653,0.510095352690924,0.449108274017117,0.389805804460394
"SL","SL","SL",0.877278289758887,0.872168269196173,0.86880523002112,0.874894527019355,0.869308745815543,0.86597342758969,0.883798413677996,0.881003823957313,0.873146790252952
