"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",-0.000740229833637307,0.00128745376138495,0.000828030277093328,-0.0011591463242977,0.00122920491253975,0.000158174722299842,-0.00118228136231091,0.000805666342352129,8.01664236806943e-05
"RE-Mean","FE","FE",-0.000847284912125268,0.00115964202691865,0.000734936253079077,-0.0010997511068801,0.00109633300051626,7.66397782221429e-05,-0.0011625166864051,0.000707050839842793,0.000228893632820082
"RE","FE","FE",-0.000902372321870404,0.00115985043859901,0.000744656757882378,-0.00110859315293421,0.00108722664103822,8.8508368629725e-05,-0.00114556165692459,0.000729029155152716,0.000243016478057578
"SL","FE","FE",-0.000989594570299568,0.000941849876817669,0.000485327820964221,-0.00108649447699272,0.000432877358736761,-1.26611812950594e-05,-0.00147860172185532,0.000613543131156691,0.000591278852159371
"FE","RE","RE",0.0153504685076913,0.00913704982633368,0.00399600349715157,0.0121288754752746,0.00745141402660465,0.00258542296884134,0.00927781882378742,0.00550747558443909,0.00183770427570407
"RE-Mean","RE","RE",0.0230548533558608,0.0115442913893586,0.00438866607410682,0.016136931757847,0.00865789243177373,0.00278521463396775,0.0106243311107936,0.00589900265038712,0.00211186654323514
"RE","RE","RE",0.0230638533131469,0.0115616281358155,0.00440137101267446,0.0161601810704934,0.00865722253727141,0.00279850510137813,0.0106536782559226,0.00592388165278046,0.00212656690822532
"SL","RE","RE",0.0392832143287458,0.0219778869931517,0.00914739845174761,0.0275252550407761,0.0150836716937708,0.00595379360283466,0.015394347385927,0.0090311749105938,0.0039835040034728
"FE","RE-Mean","RE-Mean",0.00422237650252089,0.00419214464642259,0.00215161355566806,0.00134444265157407,0.00248855806058756,0.000643572489523958,0.000147708994604479,0.00141836668832784,0.000299152294888305
"RE-Mean","RE-Mean","RE-Mean",0.00581775332013201,0.00473416274310523,0.00221677507837925,0.00193439180576549,0.00255830807308044,0.000617204265462634,0.000281104613441219,0.00136912778170784,0.000465210186906262
"RE","RE-Mean","RE-Mean",0.00578479650931762,0.00474671932184356,0.00222873181084515,0.00192762266052005,0.00255238369656707,0.000629675697888077,0.000299758931667338,0.00139189590101219,0.000479548798574925
"SL","RE-Mean","RE-Mean",0.00873861034507506,0.00692247426753179,0.00329127877499924,0.00293387151240521,0.00255698745659294,0.000849838663761426,-5.27176037949939e-05,0.00131343680311402,0.000852371917702044
"FE","SL","SL",0.228068429114676,0.224976795748794,0.221582231738765,0.241433446756675,0.230891253128774,0.222529405754679,0.286755883453271,0.259894057226026,0.238333027824071
"RE-Mean","SL","SL",0.342968566079971,0.295621974249564,0.25479736696103,0.327366980832023,0.287075460830476,0.251763559088789,0.337424228790037,0.298267258350841,0.264454943322092
"RE","SL","SL",0.34313481095405,0.295743850705698,0.254854243874826,0.327553405309314,0.287196754858847,0.25182723814398,0.337680439185139,0.298389859226104,0.264562033294973
"SL","SL","SL",0.610784463314035,0.613092729906624,0.610497995076663,0.605875315940182,0.606895622185647,0.605282549875927,0.601310640115678,0.599638476009765,0.598515716100847
