PS Model,Med,Mediator/Outcome Model,PNIE_0.05_20,PNIE_0.05_40,PNIE_0.05_100,PNIE_0.2_20,PNIE_0.2_40,PNIE_0.2_100,PNIE_0.5_20,PNIE_0.5_40,PNIE_0.5_100
FE,FE,FE,0.06627301154874003,0.04705837915451702,0.030581128304031365,0.06713369000024975,0.049312576192530704,0.03324359765464656,0.06479358181958207,0.04830190699673277,0.036330322751933944
RE-Mean,FE,FE,0.06294630606978169,0.04513386996073896,0.029718013645522044,0.06330479660138685,0.046862853113742074,0.03158297872120734,0.06166145317757967,0.04601859593543735,0.0345410439150486
RE,FE,FE,0.06292741769702653,0.045088168654848555,0.02972418286030104,0.06327842357807155,0.04679125981039789,0.03159027476254091,0.061640277493770455,0.0459918022731501,0.03452299155010654
SL,FE,FE,0.05968074698344064,0.041420294569628216,0.026926408700272696,0.05728898609472864,0.0416168103332467,0.025882226904184305,0.051247312024771945,0.03578728166488154,0.023075371480116808
FE,RE,RE,0.06605483505478096,0.047053831961814584,0.03057927088894897,0.06686784693326754,0.04923530086556641,0.03322604220931393,0.0644340721640891,0.04819330644494472,0.03629992165178869
RE-Mean,RE,RE,0.06209983750111324,0.04486631919204223,0.029667174714132327,0.0627769373984693,0.04667591449313479,0.03154941987581968,0.061233705230143036,0.045881353753945316,0.034505058748668334
RE,RE,RE,0.06203763183335534,0.044811295196582265,0.029673351575700054,0.06272612740141192,0.04660291530779783,0.03155635840134056,0.06121028222601149,0.04585350687081189,0.034486733846325356
SL,RE,RE,0.05825980270648871,0.04047592728100903,0.02664234356135095,0.056557900970139734,0.0410084404649194,0.025775007240205466,0.050846994023879204,0.035451452441094176,0.023038259295918177
FE,RE-Mean,RE-Mean,0.06643007187980271,0.04719450293449469,0.03059468603042163,0.06728131100795101,0.04940218149817839,0.03325430840087546,0.06486696475828496,0.04834491429626825,0.0363318106200179
RE-Mean,RE-Mean,RE-Mean,0.06294348329989105,0.04522061167314275,0.029714268271887258,0.06334913262771223,0.04692326417351197,0.03158690014109556,0.06170236461404239,0.046053267009877906,0.03453948708993143
RE,RE-Mean,RE-Mean,0.06289240196102418,0.04516909590013955,0.029720987280998826,0.06330400828462796,0.04685043523272106,0.031593874128543774,0.061678397440988755,0.04602604436320591,0.03452106200137371
SL,RE-Mean,RE-Mean,0.05962278508237345,0.041452897434040195,0.026905212753684005,0.05727178941279145,0.041624028239335704,0.02588397740914583,0.05125260194892939,0.035801791768429486,0.023062714846012185
FE,SL,SL,0.07768229603260998,0.060506332729456304,0.046843230029855985,0.09999549314600777,0.08743626690172503,0.07426485176972067,0.1448051283750327,0.13381565512910723,0.121743104244872
RE-Mean,SL,SL,0.07422109524685958,0.05825518392633642,0.045559376294930336,0.09785892850829757,0.08581066632522967,0.07421954436120913,0.140411239390778,0.13263752066655038,0.12077510876316444
RE,SL,SL,0.07412157477727717,0.0581490810004882,0.04553006975350616,0.09786473512095156,0.08575767920042088,0.07416665533809969,0.14061089040733032,0.13260162968115832,0.12070049614336584
SL,SL,SL,0.08214309926450941,0.06587657766179404,0.05639414497947344,0.11661639141601621,0.10560787720765903,0.09921529158751151,0.17393250909050362,0.1711688441343755,0.16154119492678662
