PS Model,Med,Mediator/Outcome Model,PNIE_0.05_20,PNIE_0.05_40,PNIE_0.05_100,PNIE_0.2_20,PNIE_0.2_40,PNIE_0.2_100,PNIE_0.5_20,PNIE_0.5_40,PNIE_0.5_100
FE,FE,FE,-0.0013795650008923133,7.37291384387273e-4,-0.0013577941976488095,-0.0015463693458641625,0.0016735149202722344,-7.249666966988588e-4,5.848794679905733e-4,-0.001354276496045137,-0.0011177225691377801
RE-Mean,FE,FE,-0.0011573945969439725,5.713408104579543e-4,-0.0013703244654295066,-0.0015753975122743125,0.0014253078930834828,-7.509585443679079e-4,5.037237874105926e-4,-0.0010868771309507919,-0.0011167539603589294
RE,FE,FE,-0.0011521223018551296,5.895008796574785e-4,-0.001380329483809395,-0.001552782898738947,0.0014124574963472192,-7.700787529949515e-4,5.655990292827706e-4,-0.0010813036314154534,-0.001130860724956717
SL,FE,FE,-7.769209881044459e-4,2.1082489838297747e-4,-0.0013913340256797024,-0.0017226816150414104,4.453218799889136e-4,-0.0010475240124548924,-6.840143499731166e-5,8.840044930535917e-5,-0.0010511015096159593
FE,RE,RE,-0.001342075464735637,7.135595171900988e-4,-0.0013515088134984365,-0.0015856361117084772,0.001669469624762332,-7.21380122456261e-4,6.370202229013522e-4,-0.001378774578314701,-0.0011148445057156398
RE-Mean,RE,RE,-0.0010327176623192713,5.359748554898403e-4,-0.0013569779342598176,-0.0015607302334775808,0.0014297264298501755,-7.444991043050742e-4,5.611631363418024e-4,-0.0011058876090552783,-0.0011114388560297117
RE,RE,RE,-0.0010081476046008842,5.53171652049933e-4,-0.0013666510448533398,-0.0015305670387281145,0.0014178425979030074,-7.63444554206405e-4,6.259283693397233e-4,-0.0010997239658161462,-0.0011253106809457902
SL,RE,RE,-4.439017824954261e-4,1.4261191650533078e-4,-0.0012711500846064316,-0.001460487548084921,4.619391463092093e-4,-9.842837673722515e-4,4.1719683624652504e-5,1.020390887651601e-4,-0.0010134014980884842
FE,RE-Mean,RE-Mean,-4.072086931883323e-4,0.0012225708831810067,-0.001145121916384939,-7.073155349862636e-4,0.002132530219837836,-5.333789858118498e-4,0.0012534221239914878,-0.001082578849900373,-0.0010012873835227865
RE-Mean,RE-Mean,RE-Mean,-1.4341580675525378e-4,0.0010903361342768925,-0.0011538315146518707,-6.758841447189745e-4,0.001911737576478112,-5.552525604096692e-4,0.0012082042353145361,-7.965914601473223e-4,-9.959518677010726e-4
RE,RE-Mean,RE-Mean,-1.0808084634328363e-4,0.0011072741188298263,-0.001163668769888937,-6.427179156826002e-4,0.0018995313377399015,-5.743840414420553e-4,0.0012749733353898396,-7.902612263832598e-4,-0.0010099005348586099
SL,RE-Mean,RE-Mean,1.6565149990621642e-4,7.38757857035921e-4,-0.0011716941317487795,-8.386496060950321e-4,9.193069169892709e-4,-8.521552085274386e-4,5.421972816246345e-4,3.769855127162547e-4,-9.303725008005248e-4
FE,SL,SL,-2.3554714854712167e-4,-0.002967050907355162,-6.875238027425068e-4,-0.0015648592084634982,-0.0012726939004799043,-4.539506126218784e-4,-0.0016266885452415059,-0.005739263535505357,-7.859538156552714e-4
RE-Mean,SL,SL,5.045218121719763e-4,-0.0015842979668575508,-3.458940312159875e-4,1.897154577645832e-4,-3.400948564261652e-4,5.631864374855411e-8,5.407756222264304e-4,-0.003403536724543854,4.3403009972986517e-4
RE,SL,SL,5.500504611934964e-4,-0.0015639455589052664,-3.2907697953488135e-4,2.663848917696665e-4,-3.2796686117009255e-4,2.028385179375647e-5,7.010231735187222e-4,-0.003375067187585956,3.9152291848543186e-4
SL,SL,SL,0.0024630478154930024,2.446312250161675e-4,0.0013878753209670691,0.004214282453116169,0.0014611761981000448,0.0039688982041536924,0.005648913048354354,0.002263397699586278,0.006650369675550438
