PS Model,Med,Mediator/Outcome Model,TNDE_0.05_20,TNDE_0.05_40,TNDE_0.05_100,TNDE_0.2_20,TNDE_0.2_40,TNDE_0.2_100,TNDE_0.5_20,TNDE_0.5_40,TNDE_0.5_100
FE,FE,FE,0.06174410060140523,0.07060762190122172,0.06620113222273272,0.05789286527088233,0.06752212861837714,0.06807667168295217,0.061502260309772794,0.06442439198136274,0.06458951163714999
RE-Mean,FE,FE,0.0626018687536063,0.0696228174342739,0.06622193906669205,0.060127244039175576,0.06698842187643206,0.06802640599499199,0.061989849468047975,0.06426472890404189,0.06520968740045019
RE,FE,FE,0.06253399670220694,0.06958047057215189,0.06620954373628107,0.06004305360448159,0.06688952648216473,0.06797862927835596,0.06190226853995595,0.06419164183190262,0.06512951450817961
SL,FE,FE,0.06364528252328183,0.0678228412734121,0.0663727168649817,0.06399194327443913,0.0662865622983404,0.06738599350060404,0.06329226033474922,0.061999795657393886,0.06821515877367279
FE,RE,RE,0.06675792587727813,0.06594399820861141,0.0637631102531131,0.06569491404333205,0.06573984055077142,0.06435854082412318,0.06644295445703663,0.06595952608559141,0.06314782428470744
RE-Mean,RE,RE,0.06844333691720794,0.06637335211293016,0.0639058395473886,0.0668431995991583,0.06617147217370856,0.06434236776441438,0.06676001718891533,0.06605261230947779,0.06328827356820144
RE,RE,RE,0.06851882776351936,0.06638525604730972,0.0639095468229629,0.06689592262033917,0.0661805004224445,0.06434056728948567,0.06682839042612576,0.06604537149916245,0.06328770558794239
SL,RE,RE,0.07293419374598309,0.06896911190796096,0.06522621014301344,0.07133284446820953,0.06856261032747724,0.06529946240617313,0.06968527613155806,0.0673400974175804,0.06445389308408078
FE,RE-Mean,RE-Mean,0.06394099638587614,0.06729456937907585,0.06213414150920182,0.06272814576322117,0.06561691060125896,0.06251436171241265,0.06438099128770025,0.06471959920685544,0.06079161375639264
RE-Mean,RE-Mean,RE-Mean,0.0644070265156067,0.06699286936480697,0.062177700300269034,0.0629993767927155,0.06571236092915411,0.06241261709900914,0.06429712810860622,0.06477986692111926,0.060951238653674134
RE,RE-Mean,RE-Mean,0.0645644932758842,0.06699844028134816,0.06217841059901108,0.06307708554435609,0.06570856486168708,0.062392981296334415,0.06440893776554035,0.06478020603954704,0.06094502737027008
SL,RE-Mean,RE-Mean,0.06556996897447886,0.06698996844365301,0.06262717030262777,0.06396127970460008,0.06574717089542248,0.062366541964478106,0.06450095083943075,0.06488483642933529,0.06181283677539007
FE,SL,SL,0.0836109735904147,0.07265641477779639,0.06512916894115661,0.09950480098075754,0.08011052146738828,0.06900611549760871,0.1514609942353795,0.11537942035202198,0.09070160573049701
RE-Mean,SL,SL,0.21630471022392883,0.15663086761229095,0.10616143000519984,0.19827133948177011,0.1475325528934468,0.10457756070328506,0.2090715196471873,0.16031724748119447,0.12029332782500046
RE,SL,SL,0.21714425134256965,0.15695204398020768,0.10624757147814168,0.19897432881944144,0.14782491662140673,0.10464149569998926,0.2095904229359844,0.1605547459137675,0.12038348596847115
SL,SL,SL,0.5310767941395123,0.5268527654971289,0.5295938071441353,0.5219633886461119,0.5196640046953769,0.5230189918287813,0.5123857257403959,0.5088090408576755,0.5136642043154513
