PS Model,Mediator/Outcome Model,PNDE_0.05_20,PNDE_0.05_40,PNDE_0.05_100,PNDE_0.2_20,PNDE_0.2_40,PNDE_0.2_100,PNDE_0.5_20,PNDE_0.5_40,PNDE_0.5_100
FE,FE,-0.008550541694627212,0.007521858918301927,0.004442115820421089,-0.013538581006209416,0.0036977565586147065,0.006878330556614021,-0.00932331197664027,-0.001429922361161906,0.0010584683140557605
RE,FE,-0.0072934147683384465,0.005949922925442941,0.004494187630924129,-0.009786930269156557,0.0024964644357627908,0.006759804409725012,-0.008478037227265478,-0.0019051989678703363,0.0019561524997617763
SL,FE,-0.005213111130649595,0.003424149436660029,0.004462438574526217,-0.0025631904443100817,0.0016869068856089076,0.005502540217861229,-0.005105717467521531,-0.005672932048381485,0.006688471242229932
FE,RE,3.139443091813021e-4,-7.265214464118319e-4,1.2571203934519382e-4,3.250008370032642e-4,5.405873066499645e-4,2.9895309248062496e-4,-6.204733521133488e-4,0.0012978877777083397,-0.0014915813273829182
RE,RE,0.003193395240448149,3.1855815336578885e-4,4.158182029336821e-4,0.0023471178482148414,0.0012295408951505937,3.193696952232816e-4,1.9183635598896132e-4,0.0013801031884539405,-0.0013038570227585922
SL,RE,0.010946788013035613,0.0055164694873173215,0.002331391734967214,0.010224049318260375,0.005692164495623597,0.0017579285083535456,0.0061077240527764864,0.003747472335277058,4.170099681344297e-6
FE,RE-Mean,-0.004645193273763559,0.0016510946212315858,-0.0027553884924560457,-0.004898651339058313,3.236219607494206e-4,-0.002962718532755204,-0.0042456610879059165,-8.883452543523296e-4,-0.005656594929034142
RE,RE-Mean,-0.0036929175197162323,0.0013699935979252231,-0.002638970018312148,-0.004348903150555583,3.95137362309006e-4,-0.003122312716567488,-0.00406064826794672,-8.488274524340866e-4,-0.005443744147179963
SL,RE-Mean,-0.0017676722922800314,0.0019333076169698593,-0.002167766183089559,-0.002601584979078031,7.142111763680514e-4,-0.0033825242553676693,-0.00298225786348838,-5.738927603124999e-4,-0.004643325540266918
FE,SL,0.0309513520229574,0.010798211020820236,0.0025880980402959164,0.06184540175709552,0.02697687274654803,0.008330787622902847,0.14736608196359602,0.09130205622018939,0.04783090644564303
RE,SL,0.2661058779435759,0.160697232244847,0.07540261904137546,0.2363695510491275,0.14592349418203598,0.07128047204766741,0.25009820998375365,0.17014921541865502,0.09947863746539753
SL,SL,0.8207078337670841,0.8167960173654885,0.8229416557190679,0.8059602422084946,0.8038771519371457,0.8095782761026193,0.7856420776929154,0.7833411419634682,0.7918125840307801
