PS Model,Mediator/Outcome Model,PNIE_0.05_20,PNIE_0.05_40,PNIE_0.05_100,PNIE_0.2_20,PNIE_0.2_40,PNIE_0.2_100,PNIE_0.5_20,PNIE_0.5_40,PNIE_0.5_100
FE,FE,-0.0013795650008923133,7.372913843874951e-4,-0.0013577941976486985,-0.0015463693458640515,0.0016735149202722344,-7.249666966987478e-4,5.848794679905733e-4,-0.00135427649604547,-0.001117722569137669
RE,FE,-0.0011521270884119472,5.894960910530767e-4,-0.0013803294405322353,-0.001552789862195536,0.0014124577945064942,-7.700802159178455e-4,5.655914786528715e-4,-0.0010813057021306083,-0.0011308607479367794
SL,FE,-7.769209881043349e-4,2.1082489838297747e-4,-0.0013913340256795914,-0.0017226816150414104,4.453218799889136e-4,-0.0010475240124545593,-6.84014349969786e-5,8.840044930513713e-5,-0.0010511015096162923
FE,RE,-0.0013420754588475692,7.135595200491451e-4,-0.001351508812932667,-0.0015856361232791105,0.0016694696382415497,-7.21380125592086e-4,6.370202180403517e-4,-0.0013787745803972573,-0.0011148445031760046
RE,RE,-0.0010081534679854398,5.531667348281921e-4,-0.001366650944532699,-0.0015305748408778186,0.0014178428234075113,-7.634460426446665e-4,6.259201690224092e-4,-0.0010997260771892226,-0.0011253107113115002
SL,RE,-4.439018237154535e-4,1.4261187853237267e-4,-0.0012711501183972906,-0.0014604875569371734,4.6193911593217507e-4,-9.842837670320792e-4,4.1719664032324744e-5,1.0203906855976719e-4,-0.0010134015108600458
FE,RE-Mean,-4.0720871049770846e-4,0.0012225708865940543,-0.0011451219191738193,-7.073155219247118e-4,0.0021325302220749354,-5.333789910600961e-4,0.0012534221261897294,-0.001082578843598303,-0.0010012873828098012
RE,RE-Mean,-1.0808616792545855e-4,0.0011072693673066514,-0.0011636686702568566,-6.427256200598475e-4,0.0018995316375749471,-5.743855168748313e-4,0.0012749653524712912,-7.902633828211769e-4,-0.001009900569127975
SL,RE-Mean,1.656514738650472e-4,7.387578592672472e-4,-0.0011716941388635327,-8.386495863393906e-4,9.193069238468965e-4,-8.521552075109184e-4,5.421972989181345e-4,3.769855115209886e-4,-9.303725055247458e-4
FE,SL,-2.3554714854712167e-4,-0.002967050907355162,-6.875238027423958e-4,-0.0015648592084632762,-0.0012726939004800153,-4.539506126217674e-4,-0.0016266885452413948,-0.005739263535505579,-7.859538156551604e-4
RE,SL,5.500439010737157e-4,-0.0015639530244040412,-3.290763950944964e-4,2.663669958464787e-4,-3.2796647224608844e-4,2.02855662225776e-5,7.010388214763186e-4,-0.0033750664832949973,3.9152917706042345e-4
SL,SL,0.0024630478154930024,2.446312250161675e-4,0.0013878753209672912,0.004214282453116169,0.0014611761981002669,0.0039688982041541365,0.005648913048354576,0.002263397699586056,0.006650369675550438
