PS Model,Mediator/Outcome Model,TNDE_0.05_20,TNDE_0.05_40,TNDE_0.05_100,TNDE_0.2_20,TNDE_0.2_40,TNDE_0.2_100,TNDE_0.5_20,TNDE_0.5_40,TNDE_0.5_100
FE,FE,0.06174410060140523,0.0706076219012215,0.06620113222273272,0.05789286527088233,0.06752212861837714,0.06807667168295217,0.061502260309773016,0.06442439198136274,0.06458951163715021
RE,FE,0.06253399562688045,0.06958046351192504,0.06620953961517606,0.06004306075903254,0.06688953656148766,0.06797862389301135,0.06190223783742366,0.06419164438299685,0.0651295178570499
SL,FE,0.06364528252328205,0.0678228412734121,0.0663727168649817,0.06399194327443913,0.0662865622983404,0.06738599350060404,0.06329226033474922,0.06199979565739411,0.06821515877367257
FE,RE,0.0667579258921116,0.06594399820275965,0.06376311025122572,0.06569491404130368,0.06573984055115845,0.06435854082469672,0.0664429544704832,0.06595952608603661,0.06314782428385013
RE,RE,0.06851882475933979,0.06638525495567205,0.0639095463464916,0.06689592356151342,0.06618050183977986,0.06434056794292653,0.06682839049896683,0.06604537138813105,0.06328770603911238
SL,RE,0.07293419377361432,0.06896911192525801,0.06522621009043705,0.07133284452473299,0.06856261031935751,0.06529946239693185,0.06968527617740228,0.06734009743376568,0.06445389305733773
FE,RE-Mean,0.06394099637513251,0.0672945693765814,0.062134141507580676,0.06272814576845676,0.06561691060175034,0.06251436171297309,0.06438099128860819,0.06471959921250114,0.060791613754829
RE,RE-Mean,0.06456448654220814,0.06699843841702635,0.06217840957982168,0.06307708680090429,0.0657085663519954,0.06239298042275565,0.06440893271273906,0.0647802061115712,0.06094502771162902
SL,RE-Mean,0.06556996896111755,0.06698996844843075,0.0626271703009178,0.0639612797019311,0.06574717089115723,0.06236654196545066,0.06450095083825791,0.06488483642971854,0.06181283677446037
FE,SL,0.0836109735904147,0.07265641477779639,0.06512916894115661,0.09950480098075754,0.08011052146738828,0.06900611549760871,0.1514609942353795,0.11537942035202198,0.09070160573049701
RE,SL,0.21714426110110807,0.15695203574706063,0.10624757382013406,0.19897432591537356,0.1478249166902892,0.10464149603541495,0.20959046977268048,0.1605547372687901,0.12038348708014923
SL,SL,0.5310767941395123,0.5268527654971289,0.5295938071441351,0.5219633886461119,0.5196640046953767,0.5230189918287813,0.5123857257403959,0.5088090408576758,0.5136642043154507
