PS Model,Mediator/Outcome Model,PNIE_0.05_20,PNIE_0.05_40,PNIE_0.05_100,PNIE_0.2_20,PNIE_0.2_40,PNIE_0.2_100,PNIE_0.5_20,PNIE_0.5_40,PNIE_0.5_100
FE,FE,0.06627301154874018,0.04705837915451716,0.030581128304030997,0.06713369000025002,0.04931257619253065,0.03324359765464641,0.06479358181958222,0.048301906996732646,0.03633032275193405
RE,FE,0.06292741830115614,0.0450881648120974,0.02972417970943656,0.06327840643213443,0.04679126061242228,0.031590273460568766,0.06164023325100219,0.04599179482836021,0.034522991907253144
SL,FE,0.05968074698344077,0.0414202945696284,0.026926408700272964,0.057288986094728836,0.04161681033324635,0.025882226904183927,0.051247312024772014,0.03578728166488146,0.02307537148011705
FE,RE,0.06605483505210491,0.047053831952598685,0.030579270886753804,0.06686784692810929,0.049235300874047476,0.033226042206099295,0.06443407217479011,0.04819330644057403,0.036299921655210975
RE,RE,0.06203763207873141,0.04481129145978261,0.02967334841845826,0.06272610958221174,0.0466029160396899,0.031556357068682143,0.061210236531947265,0.045853499205408293,0.03448673416935478
SL,RE,0.0582598027913769,0.04047592726955852,0.026642343578774513,0.05655790095089162,0.041008440452551746,0.025775007257494247,0.050846994035965,0.035451452447127524,0.023038259290035477
FE,RE-Mean,0.06643007186725583,0.04719450294809175,0.030594686025635216,0.06728131100025153,0.04940218148014429,0.03325430839979036,0.06486696475131674,0.048344914294524415,0.036331810619663986
RE,RE-Mean,0.06289240202488774,0.045169091881149225,0.029720984112684087,0.06330399053487241,0.046850435984167396,0.031593872769647806,0.06167835249746586,0.04602603667132999,0.03452106232145643
SL,RE-Mean,0.05962278506283736,0.04145289743961475,0.026905212759230093,0.0572717894182013,0.04162402824669898,0.025883977401884126,0.051252601954436955,0.03580179176520563,0.02306271484622494
FE,SL,0.07768229603261,0.06050633272945628,0.04684323002985597,0.09999549314600778,0.08743626690172489,0.07426485176972049,0.14480512837503268,0.13381565512910687,0.121743104244872
RE,SL,0.07412157538653727,0.058149078777159316,0.04553006793977068,0.09786472223131527,0.08575767050613149,0.07416665543598616,0.14061084088315362,0.13260162939492276,0.12070047986050096
SL,SL,0.08214309926450937,0.06587657766179392,0.056394144979474,0.11661639141601625,0.10560787720765898,0.09921529158751213,0.17393250909050345,0.17116884413437547,0.1615411949267868
