PS Model,Mediator/Outcome Model,TNDE_0.05_20,TNDE_0.05_40,TNDE_0.05_100,TNDE_0.2_20,TNDE_0.2_40,TNDE_0.2_100,TNDE_0.5_20,TNDE_0.5_40,TNDE_0.5_100
FE,FE,0.4428265175501108,0.38977062745879343,0.3384761833224919,0.6149283652481319,0.5826283160961289,0.5693934072814759,0.8691448151101663,0.8421268167583807,0.8449286803323995
RE,FE,0.417258991573034,0.3778339076854386,0.3346303048227883,0.6015003569975698,0.5737059956949458,0.5666657419837187,0.8621282845310736,0.8375241592246411,0.8427849967759565
SL,FE,0.411811492905121,0.35776936806419307,0.3251165446996895,0.5972498944071396,0.5567326016651525,0.551305199591806,0.8505190541272052,0.822047544438693,0.8361269696590874
FE,RE,0.17550912843153835,0.16468678178854154,0.15336386541622737,0.17844896703164367,0.1698452648491479,0.16215114512942722,0.18847825483189556,0.1827756457392043,0.17305956622778895
RE,RE,0.17695252396013555,0.16461624438636677,0.153392314885274,0.1787299074267764,0.16977281836352928,0.16157704014202923,0.1878781903218207,0.18187334092198137,0.17268824196617627
SL,RE,0.18432268007764563,0.1686049708644474,0.1551924647169365,0.1848813698116814,0.1727183060074957,0.161538847641562,0.18991424067125473,0.1801364085827752,0.1714525413369567
FE,RE-Mean,0.204348739631272,0.19394177376346958,0.17195055534386208,0.21759761422454407,0.20967999575201646,0.19951250850122007,0.2373506825234618,0.23037230259069283,0.223108689378739
RE,RE-Mean,0.19670159621638542,0.18879702003238416,0.17059662535170564,0.21223623348294843,0.20636603817985014,0.1977138912373539,0.23466846626389468,0.22830699881662014,0.22196801478461514
SL,RE-Mean,0.19227074556365972,0.1828949762503424,0.1674183244205361,0.2068180387298413,0.20062091415008926,0.19281343344589097,0.2276379280887509,0.22057621152018492,0.21588324418443033
FE,SL,0.2321666297914245,0.19486252625502715,0.16536838444525667,0.27887414714739706,0.22803637279399688,0.19151366454146201,0.4077029964949006,0.3304504298728988,0.2749001098039804
RE,SL,0.5107164296238828,0.3710797530987385,0.25299333070311014,0.476829157301836,0.35937056419519126,0.2609648811406482,0.5172651960750286,0.4103829389583945,0.3230742109193387
SL,SL,1.2332483695182392,1.2231592934202862,1.2270317413416973,1.2163924410426499,1.2101060131096584,1.215822368344681,1.206693524493368,1.1966575778320523,1.2056001467347677
