PS Model,Mediator/Outcome Model,TNIE_0.05_20,TNIE_0.05_40,TNIE_0.05_100,TNIE_0.2_20,TNIE_0.2_40,TNIE_0.2_100,TNIE_0.5_20,TNIE_0.5_40,TNIE_0.5_100
FE,FE,8.128235280719931e-4,0.0015611186806532285,-0.0022650886753073918,-3.686622859361277e-4,0.0010080591703909292,-0.0014374193253522405,0.0019350622093490255,-6.136166834423973e-4,-0.0018315602846348256
RE,FE,0.0010034893266293032,0.0013440290071651262,-0.002298061509687699,-3.3987942628688206e-4,9.362735439240044e-4,-0.001491623718434587,0.0018428776279870718,-4.4826277349152566e-4,-0.0018027757797264288
SL,FE,0.0011089643187387477,8.14867702126687e-4,-0.002109421108421383,-5.623555842924066e-4,3.309005650602437e-4,-0.0014944377880395932,9.959209500949306e-4,2.9182383352255314e-5,-0.0013261623000317968
FE,RE,8.339658098013292e-4,0.0015484805891774478,-0.002260363202912785,-4.2317903087674136e-4,0.0010085299568654005,-0.0014350582553556146,0.0019825259804178152,-6.321482295507108e-4,-0.0018306013603363036
RE,RE,0.0011319672864713581,0.0013140128062782974,-0.0022861665169380263,-3.354436521284532e-4,9.463227400954288e-4,-0.0014861955245135672,0.0018985260715631558,-4.6023536254791164e-4,-0.0017993361357055981
SL,RE,0.0014297299714656209,7.442599874945e-4,-0.0019914772864417785,-3.1916709943735633e-4,3.516879098341974e-4,-0.001432942937185433,0.001105959815557167,5.234843272572398e-5,-0.0012906365621251359
FE,RE-Mean,0.0012538763759069038,0.001792398811688356,-0.0021649262379280776,-2.9922564510953542e-5,0.001223588863779712,-0.0013482850970418792,0.0022553774438447416,-4.989078252037871e-4,-0.0017800010878876726
RE,RE-Mean,0.0014841979789694815,0.0015919469996115154,-0.0021965886571447824,4.0999124530927133e-5,0.0011700258958893262,-0.0014007088432553827,0.002183420158186733,-3.2200634327606004e-4,-0.0017485904376967065
SL,RE-Mean,0.001523048402046312,0.0010708769249287986,-0.002005165771505335,-1.6076548795196377e-4,5.624769508043581e-4,-0.001400849839533147,0.0012889857904401225,1.6659064571133975e-4,-0.0012672208008925878
FE,SL,8.525276649122837e-4,4.8850583493242894e-5,-0.0019790524141708454,-0.0014431810404397227,-9.713623702322094e-4,-0.0011953064548353431,0.0023989263457937504,-0.004213613866093646,-0.0020243902394642133
RE,SL,0.0018810247009177772,2.4154757001570992e-4,-0.0018525866802672208,2.9158150573938e-4,-1.4511870338629329e-5,-9.157614950191517e-4,0.003549509916167981,-0.0024619306089904702,-9.528740667970048e-4
SL,SL,0.0032648792740286314,7.961362478026146e-5,-1.7233520107462486e-4,0.0032473309154092966,7.665532461287317e-4,0.002074800221835371,0.0059541308141743965,0.001944514939409947,0.00405659551677795
